Restaurants,Food Offered,Reviews,Disounts
BOX8 - Desi Meals,"North Indian, Biryani, Fast Food, Combo, Snacks",N/A,60% off | Use STEALDEAL
Polo Peppinos,Fast Food,N/A,30% off on all orders
Koramangala Social,"Indian, Chinese, South Indian, American, Fast Food, Kebabs, Mughlai, Biryani, Co...",N/A,60% off | Use DEAL60
Italian Creamery,"Ice Cream, Desserts, Beverages",N/A,20% off | Use TRYNEW
Galli Belly,Snacks,N/A,N/A
Uppu Khara,"South Indian, Indian, Chinese, North Indian",N/A,30% off | Use TRYNEW
Ministry of Ice Creams,"Ice Cream, Desserts, Beverages",N/A,20% off | Use TRYNEW
Bombay Kulfi,Ice Cream,N/A,N/A
HUNGER BITES,"Beverages, Chinese, Snacks",N/A,20% off | Use TRYNEW
Chai Corner,"Beverages, North Indian, Snacks",3.9,20% off | Use SWIGGYIT
Delicacy,"Chinese, Thai",N/A,30% off | Use TRYNEW
Casa Fresco,"American, Italian, Continental, Pastas, Steakhouse, Pizzas, Healthy Food, Bevera...",N/A,20% off | Use TRYNEW
Tarbouch Rolls and Grills,"Arabian, Turkish, Combo, Mediterranean, Street Food",N/A,40% off | Use TRYNEW
WarmOven Cake & Desserts,"Bakery, Desserts, Ice Cream",N/A,60% off | Use STEALDEAL
Southern Soul Restaurant,South Indian,N/A,20% off | Use TRYNEW
Happy Eats,"North Indian, Chinese, Home Food, Rajasthani",N/A,25% off | Use SWIGGYIT
Third Wave Coffee Roasters,"Beverages, Pizzas",N/A,40% off | Use TRYNEW
Biryani Crafts,"Biryani, North Indian, Chinese, Tandoor, Indian",N/A,30% off on all orders
Brik Oven,"Italian, Fast Food, Pizzas, Desserts",N/A,N/A
Mithai Wale,"Sweets, Snacks",3.8,60% off | Use TRYNEW
Skoosh Bubble Tea,Beverages,N/A,30% off | Use TRYNEW
Thyme & Whisk,"Chinese, North Indian, Continental, American, Desserts, Italian, Beverages, Pan-...",N/A,N/A
Qwik Bites,"Fast Food, Snacks, Beverages",N/A,10% off | Use TRYNEW
Davanagere Benne Dose (HSR),South Indian,N/A,20% off | Use TRYNEW
Street Kitchen By Mandi Pure Veg,"Snacks, Chaat, Street Food, Fast Food, Chinese",N/A,N/A
Sugo,"Italian, Pastas, Pizzas, Desserts",N/A,60% off | Use STEALDEAL
Copper Chimney,"North Indian, Indian, Biryani, Punjabi, Kebabs, Grill, Mughlai, Desserts",N/A,N/A
Lavender Bakery by Fresh Pressery,"Bakery, Desserts",N/A,20% off | Use TRYNEW
Juno,"Snacks, Indian",N/A,15% off on orders above ₹400
HALA LEBENESE CUISINE,"Lebanese, Arabian, Middle Eastern",N/A,30% off | Use TRYNEW
XOOX Brewmill,"North Indian, Chinese, Pizzas, Continental, Desserts",N/A,15% off | Use UNLIMITED
Nizza Pizza,"Pizzas, Italian, Continental, Beverages",N/A,Free Delivery | Use FREEDEL
UR Military Hotel,Biryani,N/A,N/A
R K FOODS,"Biryani, Chinese, Kebabs, Hyderabadi",N/A,N/A
Bengali Fun Foods,North Indian,N/A,20% off on orders above ₹250
Maiyas restaurants,"South Indian, Fast Food, Snacks, Sweets, Chaat, Indian, Desserts",N/A,20% off | Use TRYNEW
MH10 MAHARASHTRIAN CUISINE,"Indian, Thalis, Seafood",N/A,N/A
Kachori Kafe,"North Indian, Rajasthani",3.4,N/A
Wok & Talk,Chinese,N/A,N/A
Kathi Rolls Co.,"Fast Food, Beverages, Desserts",N/A,30% off | Use TRYNEW
Biryani Sagar,"Biryani, Indian, Chinese, Tandoor",N/A,N/A
Salt Mango Tree,"Kerala, Biryani, Seafood, Beverages",3.0,25% off | Use TRYNEW
Chapati Factory,"Chinese, South Indian, Indian",3.6,20% off | Use TRYNEW
RS Donne Biryani & Nati Foods,"Biryani, Chettinad",N/A,20% off | Use TRYNEW
Sidras Chocolates,Bakery,N/A,N/A
Crazy Pizza,"Fast Food, Italian",N/A,N/A
Brothers Burger,"American, Fast Food, Snacks",3.8,50% off | Use TRYNEW
Poha House,"Indian, Fast Food, Snacks",N/A,20% off | Use TRYNEW
Paris Panini - French Street Food,"French, Street Food",N/A,N/A
Harilal Ka Bihari Dhaba,"North Indian, Chinese",N/A,N/A
The Momo Co.,"Chinese, Asian, Fast Food",3.7,60% off | Use TRYNEW
Wok Street,"Street Food, Chaat",N/A,N/A
SOUL OF KERALA,Kerala,N/A,N/A
Wat a Bowl,"Indian, Chinese, Thalis, Combo",N/A,30% off | Use TRYNEW
Punjabi Swag,"Punjabi, North Indian, Chinese, Fast Food, Mughlai, Desserts",N/A,50% off | Use TRYNEW
Mithai Vatika,"Chaat, Fast Food, Sweets",3.5,N/A
Eggo,"Street Food, Chaat",N/A,N/A
Holy Smoke,"Arabian, Mughlai, Chinese, Biryani",N/A,20% off | Use TRYNEW
Pesto,"Street Food, Chaat",N/A,N/A
Salt - Indian Restaurant Bar & Grill,"North Indian, Biryani, Thalis, Desserts",N/A,50% off | Use TRYNEW
SL Vadapav,Fast Food,3.7,30% off | Use TRYNEW
Hearty Treats,"Healthy Food, Desserts, Keto",N/A,30% off on orders above ₹199
RUCHI VIRUNDU,"Biryani, South Indian",N/A,N/A
Toping Twist,"Chinese, Continental, Fast Food, Tibetan",N/A,N/A
New Shanti Upahar,South Indian,N/A,N/A
Biryani Trip,"Biryani, Hyderabadi, Indian",N/A,25% off on all orders
Eat at kannur,"Chinese, Indian",3.4,50% off on all orders
Ancient CHINESE HOUSE,Chinese,N/A,40% off | Use TRYNEW
Transformative Nutrition,"Healthy Food, Salads",N/A,N/A
Paratha Envy,North Indian,N/A,30% off on all orders
Sri Vasavi Chats,Indian,N/A,N/A
TRUE KITCHEN,"Asian, Pizzas, Pastas, Salads, Beverages",N/A,60% off | Use TRYNEW
WOWFFLES,"Desserts, Bakery",N/A,50% off | Use TRYNEW
Prowl Foods By Tiger Shroff,Beverages,N/A,25% off | Use JUMBO
The Pastry House,Bakery,N/A,50% off | Use TRYNEW
Jimmy's Fried Chicken,"American, Continental, Snacks",N/A,30% off | Use TRYNEW
Chandni Chowk,Chaat,N/A,30% off | Use TRYNEW
TOO MUCH CHUTNEY,South Indian,N/A,30% off | Use TRYNEW
SAMAIKYA,"Indian, Biryani, Desserts",N/A,40% off on all orders
Dosa Chicken & Tiffins,"South Indian, Fast Food, Andhra",N/A,20% off | Use TRYNEW
BIGGUY'S WINGERY,Fast Food,N/A,N/A
BOSS Burger,"American, Continental, Fast Food, Combo",N/A,60% off | Use DEAL60
BROTHER BARLEY BREWING COMPANY,"Indian, Continental, American, Pizzas, Mediterranean, Italian",N/A,20% off | Use SWIGGYIT
Mishmash,"Andhra, Biryani",N/A,30% off on all orders
Gyms Kitchen,Grill,N/A,N/A
RJ 14 Kitchen,"Fast Food, North Indian",N/A,50% off on all orders
Kingsmen Coffee,"French, Continental, Desserts, Bakery, Beverages, Snacks",N/A,30% off | Use TRYNEW
Barbeque Nation,"North Indian, Mughlai, Seafood, Biryani, Desserts, Kebabs",3.6,60% off | Use STEALDEAL
Sri Srinivas Pork Hotel,"South Indian, Chinese, Snacks",3.1,10% off | Use TRYNEW
NAATI STYLE BIRIYANI GRAND  FAMILY RESTAURANT,"Biryani, Chinese, Kebabs, North Indian",3.9,40% off | Use TRYNEW
CM CAFE,"Beverages, Juices, Ice Cream",N/A,10% off on all orders
NATURAL MUMBAI KULFI,"Desserts, Ice Cream, Beverages",N/A,30% off | Use SWIGGYIT
Chef On Wheels,Indian,N/A,20% off | Use TRYNEW
Five star chicken Domlur,Fast Food,3.3,N/A
KUNAFECI,Indian,N/A,20% off | Use SWIGGYIT
ROLLING DOUGH CAFE,"Italian, Seafood, Desserts, Continental, Salads, Pizzas, Pastas, Beverages",N/A,30% off | Use TRYNEW
SMOOR BAKESHOP,Beverages,N/A,60% off | Use TRYNEW
NORTH EATS,North Indian,N/A,20% off | Use TRYNEW
Indus Spice House [ish],North Indian,N/A,N/A
Manhatten Burgers,Continental,3.9,60% off | Use TRYNEW
Kozhikodans,Indian,N/A,N/A
MAEDAH,"Arabian, Tandoor, Chinese",3.6,50% off | Use SWIGGYIT
Glen's Bakehouse,"Continental, Italian",N/A,N/A
IDC kitchen,"South Indian, North Indian",N/A,N/A
Donne Biryani,"Biryani, Combo, Andhra, South Indian, Desserts, Biryani - Shivaji Military Hotel...",3.9,20% off | Use TRYNEW
Savoury Restaurant,"Arabian, Middle Eastern, North Indian, Grill, Seafood, Kerala, Chinese",N/A,20% off | Use TRYNEW
The Grey House Cafe,Indian,N/A,N/A
Toque -  Healthy Smoothies,"Healthy Food, Salads, Juices, Beverages, Desserts, Keto",N/A,20% off | Use TRYNEW
Pizza Crusto,Pizzas,N/A,60% off | Use TRYNEW
HOT GRiDDLE,Fast Food,N/A,N/A
The Rendezvous,"Continental, Italian, Indian, Chinese",N/A,N/A
Temperature,"Fast Food, Desserts, Chaat, Juices, Beverages, Snacks",N/A,40% off | Use TRYNEW
Susie's Burgers,"American, Fast Food",N/A,50% off | Use TRYNEW
IceBreakers Ice Cream,"Ice Cream, Desserts, Beverages, Snacks",3.6,20% off | Use TRYNEW
Paddu Corner,South Indian,N/A,30% off | Use PARTY
Hilton Bangalore EGL,"Asian, North Indian, Biryani, Combo, Desserts",N/A,50% off | Use TRYNEW
Curry On Tikka,"North Indian, Punjabi, Mughlai, Thalis, Tandoor, Biryani, Beverages",N/A,60% off | Use STEALDEAL
The Bier Library,"South Indian, North Indian, Continental, American, Desserts, Italian, Beverages",N/A,40% off | Use TRYNEW
McDonald's Gourmet Burger Collection,"American, Continental, Fast Food, Desserts, Beverages",N/A,25% off | Use TRYNEW
CANE HUT,"Juices, Ice Cream, Fast Food",N/A,N/A
Enne Nimdu Oota Namdu,"Beverages, Chinese, Pastas, Pizzas, North Indian",N/A,N/A
Roots,"Indian, Tandoor, Chinese, Continental, Desserts",N/A,N/A
CLOUD KITCHEN CHINNI CON COOK,"Continental, Indian, Chinese, Beverages",N/A,N/A
Chaska Bun,"Fast Food, Street Food, Cafe",N/A,N/A
Paan Culture,"Indian, Paan",N/A,N/A
Hungry bird,"Andhra, Biryani, Chinese, Indian",N/A,20% off | Use TRYNEW
Juice Truk,Juices,N/A,15% off | Use SWIGGYIT
Aaliyar Ambur Dum Biryani,Indian,N/A,N/A
Sri Guru dev Darshini,"South Indian, North Indian",N/A,N/A
Breakfast and More,"Chinese, Continental, Italian, Mediterranean, Thai, Lebanese, American, Asian, B...",N/A,N/A
Just Cakes,Bakery,N/A,20% off | Use SWIGGYIT
Taste of Bhubaneswar,"Indian, Snacks",N/A,N/A
Nanav Stores and Cafe,"Beverages, Fast Food",N/A,N/A
Kullad Cafe,"North Indian, Fast Food, Beverages",N/A,30% off | Use TRYNEW
The Zen Garden,"Chinese, Thai",N/A,50% off | Use TRYNEW
Bangalore Biryani House,"Biryani, Fast Food, Indian",N/A,50% off | Use TRYNEW
Kalewa : Eat Desi Boost Immunity,"North Indian, Biryani, Desserts",N/A,30% off | Use TRYNEW
FreshMenu,"Chinese, Continental, Italian, Mediterranean, Thai, Lebanese, American, Asian, B...",N/A,60% off | Use DEAL60
Biryani by Kilo,"Biryani, Hyderabadi, Lucknowi, Kebabs, Mughlai, North Indian",N/A,50% off | Use TRYNEW
HOUSE OF COMMONS,Indian,N/A,N/A
PVR Cafe,"Fast Food, American, Pizzas",N/A,50% off | Use TRYNEW
 OliveU.Fit - Salads & More,"Healthy Food, Salads, Beverages, Juices, Indian",N/A,N/A
Brownie Points - Gourmet Brownies,Desserts,N/A,30% off | Use TRYNEW
Hao Chi,"Chinese, Thai, Pan-Asian, Asian, Desserts",N/A,60% off | Use STEALDEAL
Cafe Here & Now,"Continental, American, Fast Food",N/A,N/A
Hokart - Special Hot Momos,"Asian, Chinese, Fast Food, Snacks, Street Food, Tibetan",N/A,10% off | Use TRYNEW
Thali 99,"Thalis, North Indian, Indian, Home Food",3.9,50% off on all orders
Earthen Delights,Kerala,N/A,N/A
Mix N Match,"Continental, Indian, Oriental, Pan-Asian, Home Food, North Indian, Chinese, Dess...",N/A,60% off | Use TRYNEW
ROYAL PARIS RESTAURANT,"Indian, Chinese, Tandoor, Beverages",N/A,N/A
Narmadha's Hyderabad Biriyani,Indian,N/A,N/A
Ciro's Pizzeria,Pizzas,N/A,N/A
MY KHANA,"North Indian, Indian, Desserts, Chinese, Fast Food, Combo, Thalis",N/A,50% off | Use TRYNEW
NIC Natural Ice Creams,"Ice Cream, Desserts",N/A,50% off | Use TRYNEW
Sagar fast food,"Chinese, South Indian, North Indian, Fast Food",N/A,N/A
HOSATADAKU,"Indian, Biryani, Desserts",N/A,N/A
DYU ART CAFE,"Italian, Continental, Beverages, Desserts",N/A,N/A
"Bhartiya Jalpan - Sweets, Dry Fruit and Savouries","North Indian, Desserts, Beverages",N/A,N/A
Mysuru Coffee Thindi,South Indian,N/A,30% off | Use TRYNEW
Paratha Meal Co,North Indian,N/A,50% off on all orders
Chef Bakers,"Italian, Continental",3.5,20% off | Use JUMBO
Bowl 99,"Indian, North Indian, South Indian",N/A,50% off on all orders
Sri Krishna Nalapaka,South Indian,N/A,20% off | Use TRYNEW
Combo Plates,"North Indian, Chinese, Fast Food",N/A,30% off | Use TRYNEW
Punjabi Dil Se,"Punjabi, Tandoor, Kebabs, Biryani, Thalis, Beverages",N/A,30% off | Use TRYNEW
Taproom By Sherlock's,"Chinese, South Indian, Tandoor",N/A,N/A
Shapana dhaba,"Chinese, North Indian, Biryani",3.6,50% off on orders above ₹149
Burgermeister,"American, Fast Food, Beverages",N/A,N/A
New Cool Joint,"American, Snacks, Fast Food, Ice Cream, Salads",N/A,20% off | Use TRYNEW
ParathaKingExpress,North Indian,N/A,30% off on orders above ₹189
Pizza Corner House,"Pizzas, Combo",N/A,50% off on orders above ₹199
Sendhoor Coffee,"South Indian, Indian, Beverages",N/A,20% off | Use TRYNEW
Moolehatti Donne Biryani Mane,"Biryani, South Indian, Chinese, Desserts, Combo",N/A,N/A
Biggies Burger,"Fast Food, American, Attractive Combos Available, Beverages, Combo, Snacks",N/A,30% off | Use TRYNEW
Kalingas,"North Indian, Oriya",N/A,N/A
DAVANGERE BENNE DOSE,"South Indian, Fast Food, Snacks",N/A,N/A
Wonton,Chinese,N/A,50% off | Use TRYNEW
Malabar Cafe,"Kerala, South Indian, Desserts, Fast Food, Barbecue, Mughlai, Seafood",3.6,Free Delivery | Use FREEDEL
China Twist,"Chinese, Thai, Beverages, Fast Food, Combo",N/A,30% off | Use TRYNEW
SEASON,"North Indian, South Indian, Chinese",N/A,N/A
Art of Delight,"Desserts, Ice Cream, Beverages",N/A,10% off | Use TRYNEW
Puneri Katta,"Indian, Maharashtrian",N/A,N/A
Ice Cafe & Lassi Shop,"Beverages, Fast Food",3.2,30% off | Use TRYNEW
Food Junction,"Indian, Chinese, Biryani",N/A,20% off | Use TRYNEW
Maa Ka Dabba by Roti-wala.com,"Indian, North Indian, Home Food",N/A,N/A
Momo Zone -The Momo Company,"Street Food, Fast Food, Snacks, Combo",N/A,60% off | Use STEALDEAL
The Firewood Pizza,"Italian, Pizzas, Pastas, Fast Food",3.9,30% off | Use TRYNEW
Breakfast Boss by ibis,"North Indian, Combo, Beverages",3.7,50% off | Use TRYNEW
Trattoria By Toscano,"Italian, Pizzas, Pastas, Continental, Salads, Desserts, Beverages, Combo",N/A,50% off | Use TRYNEW
Parijata pure veg,South Indian,N/A,N/A
Kapoor's Cafe,North Indian,N/A,10% off | Use TRYNEW
Lemon Pepper,Chinese,N/A,50% off | Use TRYNEW
Sukh Sagar,South Indian,N/A,N/A
UBQ by Barbeque Nation,"North Indian, Mughlai, Seafood, Biryani, Desserts, Kebabs",3.8,60% off | Use STEALDEAL
Chicken County Restaurant,"Chinese, Grill, Indian, Juices, North Indian, Tandoor, Ice Cream",N/A,N/A
Southly Healthy,"South Indian, Healthy Food",N/A,50% off | Use TRYNEW
NOTO Healthy Ice Cream,Ice Cream,N/A,N/A
Seven Ate Nine,"Continental, American, Pizzas, Indian, South Indian",N/A,20% off | Use TRYNEW
Khawa Karpo,Chinese,N/A,N/A
Lazeez,"North Indian, Mughlai",N/A,10% off | Use TRYNEW
Angel Restaurant,South Indian,N/A,20% off | Use TRYNEW
ZAATAR BENGALURU,"Arabian, Biryani, North Indian",N/A,60% off | Use STEALDEAL
Andhra Delight,"Biryani, Andhra, Snacks, Beverages, Healthy Food",N/A,30% off | Use SWIGGYIT
Indori Poha,Fast Food,N/A,N/A
Sukh Sagar,South Indian,N/A,N/A
UBQ by Barbeque Nation,"North Indian, Mughlai, Seafood, Biryani, Desserts, Kebabs",3.8,60% off | Use STEALDEAL
Chicken County Restaurant,"Chinese, Grill, Indian, Juices, North Indian, Tandoor, Ice Cream",N/A,N/A
Southly Healthy,"South Indian, Healthy Food",N/A,50% off | Use TRYNEW
NOTO Healthy Ice Cream,Ice Cream,N/A,N/A
Seven Ate Nine,"Continental, American, Pizzas, Indian, South Indian",N/A,20% off | Use TRYNEW
Khawa Karpo,Chinese,N/A,N/A
Lazeez,"North Indian, Mughlai",N/A,10% off | Use TRYNEW
Angel Restaurant,South Indian,N/A,20% off | Use TRYNEW
Andhra Delight,"Biryani, Andhra, Snacks, Beverages, Healthy Food",N/A,30% off | Use SWIGGYIT
ZAATAR BENGALURU,"Arabian, Biryani, North Indian",N/A,60% off | Use STEALDEAL
Indori Poha,Fast Food,N/A,N/A
Lord Of Wings,"Chinese, Indian, Asian",N/A,N/A
The Baker s Dozen,Bakery,N/A,60% off | Use TRYNEW
Ambur Star Briyani Since 1890,"Biryani, Chettinad, Andhra, Beverages, Seafood",N/A,N/A
The Bangalore Cafe,"Chinese, South Indian, North Indian, Continental, Desserts, Italian, Mexican, Be...",N/A,30% off | Use TRYNEW
Daily Sushi,"Japanese, Korean, Pan-Asian",N/A,N/A
Swadist Cafe,"Continental, Snacks",N/A,N/A
AAMCHI MUMBAI- Street Food of Mumbai,Maharashtrian,N/A,N/A
Street Storyss,"Continental, Italian, Pizzas, North Indian, Asian, Mediterranean, Desserts",N/A,30% off | Use TRYNEW
TEA HUT,"Beverages, Cafe, Chinese, Fast Food, North Indian",N/A,30% off | Use TRYNEW
Karavali Family Hotel,"Seafood, Mangalorean, Coastal, Chinese, Arabian",N/A,N/A
Kalpavruksha,"Beverages, Chinese, Desserts, North Indian, South Indian",N/A,N/A
Domino's Pizza,Pizzas,N/A,N/A
Goli Vada Pav No. 1,"Indian, North Indian, Fast Food, American",N/A,20% off | Use TRYNEW
Matka Kulfi,Ice Cream,N/A,N/A
Sharief Bhai,"Biryani, North Indian, Kebabs, Mughlai, Grill, Fast Food, Beverages, Combo, Swee...",N/A,60% off | Use STEALDEAL
TOO MUCH CHUTNEY,South Indian,N/A,30% off | Use TRYNEW
Krishna Vaibhava,Indian,N/A,N/A
Hungry Panda,"Asian, Chinese, Pan-Asian, Snacks",3.6,50% off | Use TRYNEW
Toscano's Crafted Cakes and Desserts,"Desserts, Bakery",N/A,50% off | Use TRYNEW
Mainland China,"Asian, Chinese",N/A,60% off | Use DEAL60
veg cake house,"Desserts, Bakery",N/A,40% off | Use TRYNEW
cupcakery,Desserts,N/A,40% off | Use TRYNEW
Majlis Biryani,"Biryani, Kebabs",N/A,30% off on all orders
Wheat Barn,"Pizzas, Fast Food, Desserts, Combo, Beverages, Snacks",N/A,40% off | Use TRYNEW
Express Kitchen,"Indian, Biryani, Ramzan Special",N/A,N/A
Biryani Pot,"North Indian, Biryani",3.9,20% off | Use JUMBO
Urban Monkey Cafe,"Cafe, Pizzas, American",N/A,N/A
Huang - Indian Chinese Food,"Chinese, Pan-Asian, Fast Food, Thai, Tibetan",N/A,60% off | Use TRYNEW
That Pizza Place,"Pizzas, Italian, Fast Food",N/A,40% off | Use TRYNEW
ZAZA 21 Spice Biryani,"North Indian, Biryani, Fast Food, Combo, Snacks",N/A,50% off | Use TRYNEW
LeanCrust Pizza - ThinCrust Experts,"Pizzas, Italian",N/A,20% off | Use UNLIMITED
Thalassery Restaurant ,"Indian, Chinese, Desserts, Beverages",N/A,N/A
Fresh Cane Juice,"Indian, Juices, Ice Cream",N/A,N/A
Purnabramha,Maharashtrian,N/A,N/A
Bamey's Restro Cafe,"Chinese, Thai, Nepalese",N/A,40% off | Use TRYNEW
Aubree,"Desserts, Bakery",N/A,30% off | Use TRYNEW
House Of Bihar,"Bihari, Snacks, Fast Food",N/A,N/A
Delhi Chat,Chaat,N/A,N/A
Simply South by YummyEats,"Biryani, Indian, South Indian, Kerala, Mughlai, Seafood, Street Food",3.9,60% off | Use TRYNEW
DrGelato,"Ice Cream, Desserts",N/A,15% off on orders above ₹100
Wingman,"Continental, American, Pan-Asian",N/A,25% off | Use TRYNEW
Sandwich souk,Chinese,N/A,50% off | Use SWIGGYIT
Hunger Bowls,"Chinese, Indian, Thai",3.1,50% off | Use TRYNEW
Oh! Pizza,"Pizzas, Desserts, Beverages, Italian, Combo, Snacks, Fast Food",N/A,50% off | Use TRYNEW
Bob's Bar,"South Indian, North Indian, Desserts",N/A,N/A
Fusion Theory,"North Indian, Chinese, Continental",N/A,40% off | Use TRYNEW
Kolkata Kitchen,Bengali,N/A,40% off on orders above ₹199
Sonar Bangla,Bengali,N/A,40% off on orders above ₹199
The Meal Plate by Roti-wala.com,North Indian,3.8,30% off | Use TRYNEW
AMITAB FOOD POINT,Indian,N/A,N/A
Flax - Healthy Living,"Cafe, Salads, Healthy Food",N/A,10% off | Use PARTY
Lucknowee,"North Indian, Biryani, Kebabs",N/A,N/A
Yo! Chow,"Chinese, Asian, Thai, Tibetan, Desserts, Pan-Asian",N/A,50% off | Use TRYNEW
Royal Biryani Kitchen,"Indian, Chinese, Tandoor, Fast Food, Snacks, Mughlai",N/A,50% off | Use TRYNEW
Andhra Mess,"Andhra, South Indian, Biryani, Chinese, Hyderabadi",N/A,N/A
The Baker's Dozen,Bakery,N/A,60% off | Use TRYNEW
Bull Burger,"Beverages, Fast Food, Snacks",N/A,N/A
Mughlai Biryani,"Biryani, Mughlai, Kebabs, Chinese",N/A,N/A
Punjabi tashan,North Indian,N/A,N/A
Maiyas Restaurants,"South Indian, Fast Food",N/A,N/A
SAMAIKYA,"Indian, Biryani, Desserts",N/A,40% off on all orders
Kerala la Paratha,"Chinese, Kerala, Seafood",N/A,30% off | Use TRYNEW
Cake Art,Beverages,N/A,N/A
Wokitchen,"Chinese, Pan-Asian, Vietnamese, Thai, Tibetan, Fast Food",N/A,60% off | Use STEALDEAL
Burger Panda,"Combo, Beverages",N/A,30% off on all orders
Hatti Donne Biryani,"Biryani, South Indian, Chinese",N/A,50% off | Use TRYNEW
Golden Dragon,"Chinese, Indian, Seafood, Desserts",N/A,40% off | Use TRYNEW
Singh Da Punjabi Dhaba,"Punjabi, Tandoor, Chinese",3.8,60% off | Use STEALDEAL
Prezzed Juicery,"Juices, Healthy Food",N/A,20% off | Use TRYNEW
"Bombay Kulfi- Icecreams, Kulfis & Desserts","Desserts, Ice Cream, Sweets",N/A,40% off on all orders
World On A Swirl: Ice Cream and Desserts,"Ice Cream, Bakery, Desserts, Fast Food, Beverages",N/A,40% off | Use TRYNEW
Sub Spot,Fast Food,N/A,20% off | Use TRYNEW
Khai Khai,"Bengali, Biryani, Beverages",N/A,30% off | Use TRYNEW
Balle Balle Kitchen,"Punjabi, North Indian, Indian, Mughlai, Chinese, Biryani",N/A,N/A
Punjabi United - Pure Veg,North Indian,N/A,N/A
Myfroyoland,"Desserts, Ice Cream",N/A,40% off | Use TRYNEW
SLAY Coffee,"Beverages, Desserts",N/A,50% off | Use SPECIALS
Reveur Chocolates,"Desserts, Snacks, South Indian",N/A,N/A
Cravy Wings - the american diner,"American, Fast Food",N/A,Free Delivery | Use FREEDEL
Ooty Chocolates,Desserts,N/A,N/A
XPRESS CHAI,"Beverages, Snacks, Desserts",N/A,30% off | Use TRYNEW
The Signature Kitchen,Indian,N/A,N/A
Omleterian,"Continental, American, Fast Food",3.6,30% off | Use TRYNEW
NH1 Bowls - Highway To North,"North Indian, Biryani, Fast Food, Combo, Snacks",N/A,50% off | Use TRYNEW
The Modak,"North Indian, Thalis, Chinese, Continental, Sweets",N/A,N/A
Ultimate Punjabi,"Chinese, Tandoor, Desserts, Beverages, Indian, North Indian, Punjabi",N/A,30% off | Use JUMBO
Biriyani Mane,"Andhra, Beverages, Biryani, Chinese, Coastal, Fast Food, North Indian, Seafood, ...",N/A,30% off | Use TRYNEW
Biriyan,"Bengali, Indian, Biryani",N/A,N/A
Shake It Off,"Beverages, Ice Cream, Desserts, Fast Food",N/A,30% off | Use TRYNEW
Pizza Bae,Pizzas,N/A,N/A
Bonum cibum,"Lebanese, Turkish, Mediterranean, Arabian, Italian, European, Continental, Pasta...",3.8,N/A
basil bistro,"Chinese, Continental, Italian, Indian, American, Lebanese, Mediterranean, Mexica...",N/A,N/A
AGADI,"Fast Food, Snacks, Beverages, Juices",N/A,N/A
Tasty Shawarma,"Seafood, Indian, South Indian, North Indian, Chinese",N/A,N/A
Fish & Fries,"Seafood, Bengali, Thalis, Biryani, Continental, Indian, Fast Food, Steakhouse",N/A,20% off | Use TRYNEW
Call Me Chow,"Chinese, Pan-Asian",N/A,40% off | Use TRYNEW
Park View Restaurant,"Chinese, South Indian, North Indian, Fast Food, Beverages",N/A,20% off | Use TRYNEW
89 Express Dhaba,"North Indian, Rajasthani, Chinese",3.1,50% off on all orders
Holy Smoke,"Arabian, Mughlai, Chinese, Biryani",N/A,20% off | Use TRYNEW
New Shanti Upahar,South Indian,N/A,N/A
lilVita,"Healthy Food, Salads, Beverages, Continental, Snacks",N/A,40% off | Use TRYNEW
Chinita Real Mexican Food,"Mexican, Beverages, Salads",N/A,N/A
BROTHER BARLEY BREWING COMPANY,"Indian, Continental, American, Pizzas, Mediterranean, Italian",N/A,20% off | Use SWIGGYIT
CHEFS KNIFE,"American, Continental, Italian, Pizzas, Pastas, Chinese",N/A,30% off | Use TRYNEW
Happy Jar Company,"Chinese, Continental, Italian, Mediterranean, Thai, Lebanese, American, Asian, B...",N/A,N/A
Smoke the sizzler house,"Continental, American, Desserts, Fast Food, Italian, Mexican, Beverages",N/A,N/A
The Baker's Dozen,"Bakery, Juices",N/A,60% off | Use TRYNEW
Occasions,Bakery,N/A,50% off | Use TRYNEW
Aunt Annie's Homely Sandwiches,"American, Beverages, Fast Food",N/A,10% off | Use TRYNEW
Akss - Modern Indian,"Snacks, Street Food, North Indian",N/A,10% off | Use UNLIMITED
The Himalayan Momo Company,"Snacks, Beverages, Cafe, Fast Food, Bakery, Chinese, Tibetan",N/A,20% off | Use TRYNEW
Bearfoot Bistro,"Pizzas, Continental",N/A,50% off | Use SWIGGYIT
The Mumbai PAV Bhaji,"Gujarati, Fast Food, Street Food, Indian, North Indian, Maharashtrian, Rajasthan...",N/A,N/A
Lassi'licious ,"Gujarati, Fast Food, Street Food, Indian, North Indian, Maharashtrian, Rajasthan...",N/A,N/A
Risalo Italian Pizza,"Italian, Pizzas, Continental, Salads, Beverages",N/A,25% off | Use TRYNEW
Sri Udupi Park,"South Indian, Chinese, Chaat, North Indian",N/A,10% off | Use TRYNEW
AL-TAJ,"Chinese, Indian",N/A,50% off | Use TRYNEW
MARZANO Pizza,"Italian, Pizzas",N/A,40% off | Use TRYNEW
Ammi's Biryani,"Biryani, North Indian, Kebabs, Mughlai, Grill, Fast Food, Desserts, Sweets, Beve...",3.8,60% off | Use STEALDEAL
Cane Crussh,"Juices, Healthy Food",N/A,N/A
Gawky Goose,"North Indian, South Indian, Asian, Tandoor, Italian, Middle Eastern, Continental...",N/A,20% off | Use TRYNEW
TUMMY TUCKER,"Healthy Food, Salads, Juices",N/A,20% off | Use TRYNEW
INOX,Fast Food,N/A,50% off | Use TRYNEW
