Restaurants,Food Offered,Reviews,Disounts
Taco Bell,Mexican,N/A,50% off | Use TRYNEW
Hotel Savitha Family Restaurant,"North Indian, South Indian, Biryani, Chinese, Indian, Tandoor, Combo, Beverages",N/A,40% off | Use TRYNEW
Samosa Party,"Chaat, North Indian, Fast Food, Street Food, Snacks, Sweets, Cafe, Desserts, Hom...",N/A,40% off | Use TRYNEW
Nagarjuna Chimney,"Seafood, Andhra, Biryani, South Indian, Combo, Desserts, Beverages",N/A,30% off | Use TRYNEW
Fabelle Chocolates - HSR,"Desserts, Sweets, Bakery",N/A,50% off | Use TRYNEW
Paakashala ,"Chinese, North Indian, South Indian",N/A,20% off | Use JUMBO
Gorbandh Sweets & Snacks,"North Indian, Rajasthani, Sweets, Chaat, Gujarati",N/A,40% off | Use TRYNEW
Sri ganesh sweets,Sweets,N/A,10% off | Use TRYNEW
FlyingKombucha,"American, Beverages, Healthy Food, Fast Food, Korean, Chinese, Japanese, Cafe",N/A,N/A
RNR Biryani - Taste of 1953,"Biryani, South Indian, Kebabs, Combo",N/A,40% off | Use TRYNEW
Crazy Bao,"Chinese, Pan-Asian, Asian, Snacks, Beverages",3.7,50% off | Use TRYNEW
Biryani Point,North Indian,N/A,50% off | Use SWIGGYIT
Davanagere Benne Dosa,South Indian,N/A,30% off | Use TRYNEW
Bhartiya Jalpan,"Fast Food, Indian, Beverages",N/A,N/A
Madeena Hotel,"Biryani, Mughlai, Indian, Beverages",N/A,25% off | Use TRYNEW
Bakingo,"Bakery, Desserts",N/A,40% off | Use TRYNEW
High Street,"Biryani, North Indian, Tandoor, Andhra, Chinese",N/A,30% off | Use TRYNEW
Muthashy's,"Chinese, South Indian, North Indian, Kerala, Seafood",N/A,20% off | Use TRYNEW
Park View Restaurant,"Chinese, South Indian, North Indian, Fast Food, Beverages",N/A,20% off | Use TRYNEW
Edesia by Freshmenu,"Desserts, Bakery, Sweets",N/A,60% off | Use DEAL60
Affordabowl,"Salads, Desserts, Italian",N/A,N/A
Pipabu,"Pizzas, Chinese, Pastas, Salads, American, Continental",N/A,N/A
MYK BOX,"Chinese, Oriental",N/A,N/A
Euphoria,Desserts,N/A,10% off | Use TRYNEW
Adithya Tiffin Centre,North Indian,N/A,N/A
AB s-Absolute Barbecues,"Barbecue, Biryani, Chinese, Grill, Mughlai, North Indian, Seafood",3.3,60% off | Use TRYNEW
ATH - All Things Healthy!,"Healthy Food, Indian, Bakery, Snacks, North Indian, Keto",N/A,N/A
Wats ur Scoop?,"Ice Cream, Desserts, Beverages",N/A,20% off | Use TRYNEW
Bathinda Tandoor,"North Indian, Chinese, Fast Food, Desserts",3.8,60% off | Use TRYNEW
Wafflee,Desserts,N/A,N/A
Jose Mess,Indian,N/A,15% off on orders above ₹99
Nando's,"Fast Food, Portuguese, African, Grill, Salads",N/A,60% off | Use STEALDEAL
ATH - All Things Healthy!,"Healthy Food, Indian, Bakery, Snacks, North Indian, Keto",N/A,N/A
IMPERIO JUICE & CAFE,"Beverages, Juices, Fast Food",3.3,50% off | Use TRYNEW
BigBites,"Street Food, Fast Food, Tex-Mex",N/A,30% off on all orders
Wandercrust,"Pizzas, Italian",N/A,40% off | Use TRYNEW
Sri Punjabi Dhaba,North Indian,3.5,55% off on all orders
Shravan Meals by Lunchbox,"North Indian, Desserts, Biryani",N/A,50% off | Use TRYNEW
Chatkara xpress,"Fast Food, Snacks",N/A,20% off | Use TRYNEW
Turkish Chicken Company,"Arabian, Turkish, Grill, Kebabs, American, Lebanese, Salads, Fast Food, Combo",N/A,30% off | Use TRYNEW
Deccan Biryani House,"Biryani, Hyderabadi, South Indian, Kerala, Coastal, Combo, Fast Food, Desserts, ...",N/A,20% off | Use TRYNEW
Plan B,American,N/A,N/A
Shree Saraswathi Sweets Centre,Sweets,N/A,N/A
SAMBAR PURAM,"Combo, Indian, Desserts",N/A,N/A
SBR DONNE BIRIYANI,"Andhra, Biryani, Chinese, North Indian",N/A,N/A
Eat O Clock,"Fast Food, Chaat, Snacks, Street Food, North Indian, South Indian",N/A,N/A
Ghar Ka Khana,Indian,N/A,N/A
Khan Saheb Grills and Rolls,"Tandoor, Mughlai, North Indian, Kebabs",N/A,15% off | Use TRYNEW
Waffle Head,"Beverages, Desserts",N/A,30% off | Use TRYNEW
AB s-Absolute Barbecues,"Barbecue, Biryani, Grill, North Indian, Seafood, Mughlai",3.5,60% off | Use TRYNEW
M JUICE JUNCTION,"Beverages, Juices",N/A,N/A
HINA,"South Indian, Chinese, Salads",N/A,N/A
Juice Shop,"Juices, Ice Cream, Desserts, Beverages",3.5,40% off on all orders
Waffle Head,"Beverages, Desserts",N/A,30% off | Use TRYNEW
AB s-Absolute Barbecues,"Barbecue, Biryani, Grill, North Indian, Seafood, Mughlai",3.5,60% off | Use TRYNEW
M JUICE JUNCTION,"Beverages, Juices",N/A,N/A
HINA,"South Indian, Chinese, Salads",N/A,N/A
Juice Shop,"Juices, Ice Cream, Desserts, Beverages",3.5,40% off on all orders
Dal Roti,"North Indian, Rajasthani, Chinese, Sweets, Punjabi, Home Food",N/A,50% off | Use TRYNEW
BurgerHaus Gourmet Burgers,"American, Continental, Fast Food, Beverages, Desserts",N/A,50% off | Use TRYNEW
Udupi Athithya,"South Indian, North Indian, Chinese, Snacks, Beverages, Chaat",N/A,N/A
The Kerala Central,"South Indian, Kerala, Coastal",N/A,10% off | Use JUMBO
Bismillah Hotel,Chinese,3.7,N/A
Sendhoor coffee,"Beverages, South Indian",N/A,N/A
Mani's Dum Biryani,"Andhra, Biryani",N/A,10% off | Use TRYNEW
Masala Box - Taste of India,"Home Food, Indian, North Indian, South Indian",N/A,50% off | Use TRYNEW
Dal Chawal Roti Sabji,"Thalis, Combo, North Indian",N/A,30% off | Use TRYNEW
Flavour of China,"Chinese, Seafood, Thai, Asian",N/A,30% off | Use TRYNEW
Just Shawarma,Fast Food,3.8,40% off | Use TRYNEW
Svadu Pure Ghee Sweets,"Desserts, Fast Food, Sweets, Chaat",N/A,N/A
Maven Kitchen,"Naga, Chinese",N/A,N/A
Saiko Sushi House,"Sushi, Japanese, Pan-Asian, Oriental",N/A,50% off | Use TRYNEW
Zaitoon,"Arabian, Biryani, North Indian, Tandoor, Chinese, Juices",N/A,40% off | Use TRYNEW
pasta de indifused,"Continental, Pastas",N/A,N/A
The Momo Co.,"Chinese, Asian, Fast Food",3.7,60% off | Use TRYNEW
Bombay Kulfis,"Ice Cream, Desserts, Sweets",N/A,60% off | Use STEALDEAL
Shaan-e-Punjab,"North Indian, Tandoor, Mughlai, Combo, Biryani, Snacks, Beverages",N/A,60% off | Use STEALDEAL
Asian Hawker,"Chinese, Pan-Asian, Desserts, Beverages",N/A,40% off | Use TRYNEW
Litti Twist,"North Indian, Fast Food",N/A,40% off | Use TRYNEW
Aalishan Restaurant & Caterer,"Mughlai, North Indian",N/A,N/A
Kerala Pavilion,"Kerala, Seafood",3.8,N/A
Pathaan Sir,Fast Food,3.9,30% off | Use TRYNEW
Cream Stone,"Ice Cream, Desserts, Beverages",3.5,25% off | Use JUMBO
HOTEL SAVITHA ABU HOTEL,"Indian, Chinese",N/A,N/A
OOGWAY BITES,"Chinese, Beverages, Desserts",3.8,50% off | Use TRYNEW
Buddha Bites,"Chinese, Juices, Beverages, Fast Food, Thai, Indian, Asian, Salads, Healthy Food...",3.6,N/A
The Juice Inc,"Healthy Food, Juices, Beverages",N/A,30% off on orders above ₹149
The Brooklyn Creamery - Low Cal Ice cream,"Desserts, Ice Cream, Healthy Food",N/A,40% off | Use TRYNEW
DONNE BIRIYANI HOUSE,"Biryani, South Indian",N/A,20% off | Use TRYNEW
Jen & Jo Ice Cream,Ice Cream,N/A,60% off | Use TRYNEW
Hustle,"Continental, Indian",N/A,N/A
ITC Sunfeast Baked Creations,"Bakery, Desserts",N/A,60% off | Use STEALDEAL
ITC Master Chef Creations,"North Indian, Mediterranean, Mughlai, Desserts",N/A,15% off | Use PARTY
"m-Aura Cafe, Kitchen & More","North Indian, Mughlai, Continental, Chinese, Desserts",3.9,40% off | Use TRYNEW
Breakfast Express,"Continental, North Indian, South Indian, American, Beverages, British, Cafe, Com...",N/A,50% off | Use TRYNEW
TEA TIME CAFE,"Beverages, Snacks",N/A,N/A
Deja Bowl,"North Indian, Home Food, Combo, Desserts, Indian, Punjabi, Chinese",N/A,20% off | Use TRYNEW
Kitchen of Joy,"Bengali, Fast Food, Chinese",N/A,N/A
TALLMANS CAFE,Indian,N/A,N/A
SRI SAPANA DHABA,"Indian, Chinese",3.6,N/A
SNACKS CORNER,"Snacks, North Indian, Beverages, Street Food, Fast Food",3.5,20% off | Use SWIGGYIT
Chaigram,"Indian, Fast Food",N/A,20% off | Use TRYNEW
Home Plate,"Home Food, North Indian, Healthy Food, Thalis, Desserts, Indian, Punjabi",N/A,40% off | Use SPECIALS
Kalpavriksha Upahara,"South Indian, North Indian, Chinese",N/A,N/A
Al Bawarchi Biryani,Biryani,N/A,20% off | Use SWIGGYIT
Broadway - The Gourmet Theatre,"Chinese, North Indian, Continental, Desserts, Beverages, Seafood, Pan-Asian, Vie...",N/A,N/A
Moti Mahal Delux,"Punjabi, North Indian, Indian, Mughlai, Chinese, Biryani",3.8,10% off | Use PARTY
Say Cheese! Pizza,"Pizzas, Italian, Desserts",N/A,40% off | Use TRYNEW
Chai Kahani,"Beverages, Snacks, Fast Food, Cafe",N/A,50% off on all orders
Ketogenic Foods - By Infinitea,"Continental, Desserts, Italian, Healthy Food",N/A,20% off | Use TRYNEW
Chinese Wok (Wok Express),"Chinese, Pan-Asian, Tibetan",N/A,60% off | Use TRYNEW
Bullet Biryani,"Biryani, Kebabs, Andhra",3.8,20% off on all orders
Chaipatty,"Fast Food, Beverages, Pizzas, Street Food, Snacks",3.7,50% off | Use TRYNEW
Taj Coastal Family Restaurant,"Seafood, Tandoor, South Indian, North Indian, Chinese",N/A,20% off on orders above ₹99
capella,"Bakery, Desserts, Continental",N/A,40% off | Use TRYNEW
Voosh Desi Parathas,"North Indian, Home Food, Snacks, Beverages",N/A,60% off | Use STEALDEAL
Dice N Dine,"American, Asian, Chinese, Continental, Desserts, Italian, Jain, Mexican",N/A,60% off | Use TRYNEW
NAMASTE KITCHEN,"Indian, Pizzas, Pastas, Beverages, Biryani, Thalis",N/A,N/A
Khichdi Kahani,North Indian,3.6,60% off | Use TRYNEW
MERHABA TURKISH CUISINE,"Salads, Beverages",N/A,30% off | Use TRYNEW
Paratha Experiment,"North Indian, South Indian",N/A,40% off | Use TRYNEW
Big Mouth Burger,Fast Food,N/A,N/A
Lassi  Shop,"Beverages, Snacks, Desserts, Salads, Fast Food, Juices, Ice Cream, Healthy Food",3.9,30% off | Use TRYNEW
Voosh Dakshin,"South Indian, Beverages, Snacks",3.9,60% off | Use STEALDEAL
Daniyal's,"Mughlai, North Indian, Bengali",3.9,60% off | Use STEALDEAL
Delhi Wala Paratha,North Indian,3.8,50% off on all orders
Goodness Grills,"Healthy Food, Continental, Keto, Indian, Salads",N/A,25% off | Use PARTY
Anushka Paratha House,"Punjabi, Fast Food, Snacks",N/A,N/A
Garage Food Company,"Chinese, Desserts, Biryani, Pan-Asian, Fast Food",N/A,20% off | Use TRYNEW
RJ 19 Cafe,North Indian,N/A,50% off | Use SWIGGYIT
Dadi Di Rasoi,North Indian,N/A,50% off | Use SWIGGYIT
Vegan Heat,"Healthy Food, Italian, South Indian, Desserts, Continental, Jain, American, Sala...",N/A,50% off | Use TRYHEALTHY
Hungry Habibi,"Arabian, Lebanese, Fast Food, Beverages, Desserts, Combo",N/A,60% off | Use TRYNEW
XO Belgian Waffle,Desserts,N/A,30% off | Use TRYNEW
Bajji's by Gourmet Kitchen,"North Indian, Indian",N/A,20% off | Use SWIGGYIT
BROWNIE BROTHERS BAKERY,Bakery,N/A,N/A
SHIFT,"Snacks, Indian, North Indian, Chinese, Seafood",N/A,N/A
Mamachang,Chinese,N/A,N/A
Tharavadu family restaurant,"North Indian, South Indian",N/A,60% off | Use STEALDEAL
FUKING CHINESE,"Chinese, Seafood, Thai, Asian, Beverages",N/A,30% off | Use TRYNEW
Rajasthani Dhaba,North Indian,N/A,50% off | Use TRYNEW
Hotel Tom's Restaurant,"Mangalorean, Biryani, Seafood, Chinese, North Indian, Desserts, South Indian, Co...",N/A,N/A
Smk cake house and sweets,"Bakery, Desserts",N/A,10% off | Use TRYNEW
Grubbly Bites,"Continental, Combo, Pastas",N/A,N/A
Tandoori Fusion,"Tandoor, Grill, Biryani, Chinese, North Indian, South Indian",N/A,20% off on orders above ₹99
Bowlsome,"North Indian, South Indian",N/A,40% off | Use TRYNEW
Meal In Bowl,"Asian, Indian, Mediterranean",N/A,30% off | Use TRYNEW
Biryani Khazana,"Biryani, Indian, North Indian",3.9,50% off on all orders
Thattukada,"Kerala, South Indian",3.8,N/A
Hot Samosa Point,Snacks,N/A,N/A
Polar Bear,Desserts,N/A,N/A
BAKE N FRESH FOOD COURT,Beverages,N/A,N/A
Dock Frost'd -Ice Cream & Milkshakes,"Desserts, Ice Cream, Beverages",N/A,40% off | Use TRYNEW
Paratha House,North Indian,N/A,50% off | Use SWIGGYIT
Salasar Balaji Restaurant,North Indian,N/A,50% off | Use SWIGGYIT
Portland Steak House,"American, European",N/A,N/A
Brownie Heaven,Desserts,N/A,30% off | Use TRYNEW
